N,Time
14,0.001333
214,0.002333
414,0.004667
614,0.005333
814,0.009000
1014,0.011000
1214,0.012333
1414,0.011667
1614,0.010000
1814,0.011000
2014,0.014000
2214,0.014000
2414,0.019333
2614,0.023333
2814,0.019333
3014,0.020333
3214,0.025333
3414,0.028333
3614,0.029000
3814,0.032333
4014,0.025000
4214,0.027333
4414,0.028667
4614,0.027667
4814,0.032000
5014,0.037667
5214,0.043000
5414,0.033333
5614,0.036667
5814,0.046000
6014,0.050667
6214,0.038333
6414,0.040333
6614,0.044000
6814,0.047667
7014,0.049000
7214,0.057333
7414,0.052667
7614,0.058333
7814,0.056667
8014,0.062000
8214,0.061000
8414,0.070667
8614,0.055000
8814,0.048667
9014,0.055333
9214,0.061333
9414,0.054333
9614,0.063667
9814,0.072667
10014,0.076667
10214,0.072000
10414,0.081333
10614,0.075333
10814,0.082000
11014,0.064333
11214,0.069333
11414,0.075667
11614,0.077667
11814,0.082000
12014,0.078000
12214,0.078667
12414,0.080000
12614,0.102333
12814,0.100667
13014,0.099000
13214,0.114333
13414,0.090000
13614,0.079667
13814,0.088000
14014,0.100667
14214,0.098000
14414,0.119000
14614,0.119000
14814,0.107667
15014,0.123000
15214,0.107000
15414,0.117333
15614,0.109000
15814,0.099333
16014,0.094667
16214,0.116000
16414,0.127000
16614,0.124000
16814,0.133000
17014,0.125000
17214,0.143333
17414,0.098333
17614,0.119000
17814,0.113333
18014,0.101000
18214,0.112000
18414,0.133667
18614,0.127667
18814,0.146000
19014,0.160333
19214,0.164333
19414,0.137333
19614,0.157667
19814,0.145333
20014,0.129667
20214,0.154667
20414,0.116000
20614,0.129667
20814,0.143667
21014,0.155667
21214,0.146667
21414,0.148000
21614,0.169333
21814,0.154000
22014,0.153333
22214,0.154333
22414,0.133333
22614,0.141000
22814,0.157667
23014,0.209333
23214,0.168667
23414,0.178667
23614,0.211000
23814,0.175333
24014,0.183333
24214,0.198667
24414,0.156333
24614,0.140667
24814,0.187667
25014,0.171333
25214,0.182333
25414,0.200667
25614,0.194333
25814,0.186667
26014,0.184000
26214,0.175000
26414,0.220000
26614,0.213000
26814,0.158000
27014,0.169000
27214,0.173667
27414,0.201000
27614,0.190333
27814,0.216667
28014,0.240667
28214,0.229000
28414,0.258000
28614,0.242667
28814,0.210667
29014,0.197000
