N ,bub,sel,ins,merge,in_merge,quick,quick3
10,0.000004,0.000004,0.000003,0.000006,0.000000,0.000005,0.000004
20,0.000003,0.000006,0.000002,0.000008,0.000000,0.000010,0.000006
40,0.000003,0.000014,0.000002,0.000015,0.000000,0.000027,0.000009
80,0.000001,0.000023,0.000002,0.000013,0.000000,0.000045,0.000006
160,0.000002,0.000079,0.000003,0.000029,0.000000,0.000215,0.000012
320,0.000003,0.000266,0.000005,0.000041,0.000000,0.000695,0.000027
640,0.000006,0.001025,0.000007,0.000102,0.000000,0.002595,0.000071
1280,0.000010,0.004084,0.000009,0.000161,0.000000,0.007837,0.000125
2560,0.000013,0.014226,0.000015,0.000323,0.000000,0.030382,0.000228
5120,0.000028,0.056882,0.000032,0.000685,0.000000,0.124104,0.000459
10240,0.000053,0.218062,0.000062,0.001428,0.000000,0.480036,0.000988
20480,0.000086,0.863466,0.000114,0.003037,0.000000,1.917414,0.002113
40960,0.000210,3.444373,0.000318,0.006867,0.000000,7.808798,0.004536
81920,0.000439,13.781881,0.000485,0.013819,0.000000,31.139601,0.009585
