N ,bub,sel,ins,merge,in_merge,quick,quick3
10,0.000006,0.000005,0.000003,0.000007,0.000000,0.000004,0.000005
20,0.000008,0.000008,0.000006,0.000011,0.000000,0.000007,0.000008
40,0.000030,0.000020,0.000012,0.000021,0.000000,0.000013,0.000012
80,0.000101,0.000052,0.000023,0.000031,0.000000,0.000021,0.000024
160,0.000316,0.000094,0.000042,0.000033,0.000000,0.000025,0.000027
320,0.000613,0.000325,0.000160,0.000071,0.000000,0.000057,0.000057
640,0.002422,0.001283,0.000632,0.000162,0.000000,0.000115,0.000125
1280,0.005676,0.003613,0.002185,0.000385,0.000000,0.000246,0.000254
2560,0.024463,0.014428,0.007758,0.000570,0.000000,0.000447,0.000469
5120,0.110215,0.056573,0.030387,0.001208,0.000000,0.001074,0.001020
10240,0.472304,0.224008,0.119917,0.002583,0.000000,0.002025,0.002160
20480,1.970911,0.892894,0.483788,0.005420,0.000000,0.004065,0.004905
40960,8.105969,3.566784,1.936954,0.011439,0.000000,0.009338,0.009945
