N ,bub,sel,ins,merge,in_merge,quick,quick3
10,0.000002,0.000003,0.000018,0.000004,0.000000,0.000004,0.000003
20,0.000007,0.000006,0.000004,0.000006,0.000000,0.000005,0.000005
40,0.000021,0.000011,0.000013,0.000011,0.000000,0.000018,0.000009
80,0.000060,0.000034,0.000039,0.000022,0.000000,0.000053,0.000015
160,0.000228,0.000097,0.000102,0.000026,0.000000,0.000205,0.000025
320,0.000676,0.000424,0.000429,0.000057,0.000000,0.000602,0.000056
640,0.003646,0.001532,0.001529,0.000139,0.000000,0.002187,0.000137
1280,0.006510,0.003527,0.004540,0.000151,0.000000,0.005576,0.000174
2560,0.025502,0.013086,0.015841,0.000469,0.000000,0.024868,0.000422
5120,0.097413,0.056435,0.060456,0.000684,0.000000,0.090198,0.000878
10240,0.395674,0.210750,0.242942,0.001405,0.000000,0.362815,0.001907
20480,1.604795,0.838078,0.967019,0.002976,0.000000,1.496412,0.004955
40960,6.796126,3.382585,3.949515,0.006272,0.000000,5.881409,0.009220
81920,25.456054,13.454319,15.700711,0.013532,0.000000,23.075960,0.020224
