N ,bub,sel,ins,merge,in_merge,quick,quick3
10,0.000003,0.000004,0.000003,0.000005,0.000000,0.000004,0.000004
20,0.000003,0.000007,0.000003,0.000009,0.000000,0.000012,0.000006
40,0.000002,0.000009,0.000001,0.000009,0.000000,0.000019,0.000007
80,0.000002,0.000028,0.000003,0.000017,0.000000,0.000073,0.000009
160,0.000003,0.000091,0.000003,0.000027,0.000000,0.000226,0.000018
320,0.000004,0.000341,0.000006,0.000080,0.000000,0.000995,0.000033
640,0.000006,0.001479,0.000009,0.000111,0.000000,0.003696,0.000075
1280,0.000012,0.004032,0.000008,0.000149,0.000000,0.007778,0.000120
2560,0.000012,0.013754,0.000018,0.000318,0.000000,0.030498,0.000212
5120,0.000028,0.056242,0.000033,0.000675,0.000000,0.121537,0.000463
10240,0.000055,0.217324,0.000074,0.001435,0.000000,0.478678,0.001000
20480,0.000086,0.865206,0.000119,0.003012,0.000000,1.913362,0.002115
40960,0.000214,3.439131,0.000227,0.006308,0.000000,7.636872,0.004519
