N,Time
1,0.000043
11,0.000123
21,0.000353
31,0.000279
41,0.000837
51,0.000827
61,0.000549
71,0.000621
81,0.001211
91,0.000787
101,0.000851
111,0.000930
121,0.002100
131,0.001176
141,0.002255
151,0.001241
161,0.002156
171,0.001401
181,0.002613
191,0.001555
201,0.001870
211,0.001708
221,0.002205
231,0.003369
241,0.001935
251,0.002016
261,0.002504
271,0.002419
281,0.002416
291,0.004034
301,0.002941
311,0.003592
321,0.004438
331,0.003008
341,0.002709
351,0.002901
361,0.003096
371,0.003365
381,0.004525
391,0.003400
401,0.003672
411,0.003294
421,0.004639
431,0.003788
441,0.003936
451,0.003955
461,0.003818
471,0.004132
481,0.004532
491,0.006004
501,0.004396
511,0.004279
521,0.005830
531,0.005308
541,0.007133
551,0.005536
561,0.005561
571,0.004814
581,0.006258
591,0.004926
601,0.005199
611,0.005553
621,0.005861
631,0.005789
641,0.005269
651,0.006284
661,0.005828
671,0.006270
681,0.006566
691,0.006230
701,0.007796
711,0.006338
721,0.006243
731,0.006280
741,0.006438
751,0.006481
761,0.007450
771,0.008596
781,0.006908
791,0.007487
801,0.007011
811,0.007603
821,0.007493
831,0.007431
841,0.008628
851,0.010324
861,0.007487
871,0.007106
881,0.007360
891,0.008608
901,0.007717
911,0.007542
921,0.007360
931,0.008995
941,0.009267
951,0.008586
961,0.008538
971,0.008546
981,0.009087
991,0.008161
1001,0.009082
1011,0.009864
1021,0.008094
1031,0.008430
1041,0.008456
1051,0.008996
1061,0.011224
1071,0.009134
1081,0.009203
1091,0.010943
1101,0.011755
1111,0.011090
1121,0.010030
1131,0.010167
1141,0.012407
1151,0.011312
1161,0.010250
1171,0.011773
1181,0.011489
1191,0.011801
1201,0.011941
1211,0.011074
1221,0.010508
1231,0.011379
1241,0.009922
1251,0.009918
1261,0.012488
1271,0.013266
1281,0.013651
1291,0.013639
1301,0.010710
1311,0.011977
1321,0.011414
1331,0.011253
1341,0.011885
1351,0.012595
1361,0.012862
1371,0.011888
1381,0.014411
1391,0.011335
1401,0.012079
1411,0.013790
1421,0.014254
1431,0.013696
1441,0.014153
1451,0.013258
1461,0.014956
1471,0.012508
1481,0.012722
1491,0.012332
1501,0.013045
1511,0.014145
1521,0.014830
1531,0.013368
1541,0.013856
1551,0.015619
1561,0.013080
1571,0.013772
1581,0.013571
1591,0.014768
1601,0.015659
1611,0.015420
1621,0.015917
1631,0.015334
1641,0.014045
1651,0.014373
1661,0.014059
1671,0.014303
1681,0.013972
1691,0.016045
1701,0.017361
1711,0.015598
1721,0.015334
1731,0.015523
1741,0.015241
1751,0.015350
1761,0.016974
1771,0.017783
